code	display_name	date	weight
300194.XSHE	福安药业	2018-09-30	0.126
002411.XSHE	必康股份	2018-09-30	0.542
002644.XSHE	佛慈制药	2018-09-30	0.113
300601.XSHE	康泰生物	2018-09-30	0.726
300294.XSHE	博雅生物	2018-09-30	0.334
600422.XSHG	昆药集团	2018-09-30	0.248
600351.XSHG	亚宝药业	2018-09-30	0.249
600420.XSHG	现代制药	2018-09-30	0.277
600750.XSHG	江中药业	2018-09-30	0.238
300595.XSHE	欧普康视	2018-09-30	0.156
300298.XSHE	三诺生物	2018-09-30	0.192
002550.XSHE	千红制药	2018-09-30	0.26
002551.XSHE	尚荣医疗	2018-09-30	0.125
600332.XSHG	白云山	2018-09-30	1.242
002317.XSHE	众生药业	2018-09-30	0.354
600833.XSHG	第一医药	2018-09-30	0.082
002390.XSHE	信邦制药	2018-09-30	0.293
300529.XSHE	健帆生物	2018-09-30	0.345
002393.XSHE	力生制药	2018-09-30	0.131
000766.XSHE	通化金马	2018-09-30	0.188
000078.XSHE	海王生物	2018-09-30	0.386
002399.XSHE	海普瑞	2018-09-30	0.402
002252.XSHE	上海莱士	2018-09-30	1.824
600535.XSHG	天士力	2018-09-30	1.256
600530.XSHG	交大昂立	2018-09-30	0.177
600624.XSHG	复旦复华	2018-09-30	0.147
300204.XSHE	舒泰神	2018-09-30	0.122
300049.XSHE	福瑞股份	2018-09-30	0.115
300206.XSHE	理邦仪器	2018-09-30	0.112
603079.XSHG	圣达生物	2018-09-30	0.042
300122.XSHE	智飞生物	2018-09-30	1.253
600436.XSHG	片仔癀	2018-09-30	1.943
603987.XSHG	康德莱	2018-09-30	0.084
603707.XSHG	健友股份	2018-09-30	0.113
300289.XSHE	利德曼	2018-09-30	0.09
002099.XSHE	海翔药业	2018-09-30	0.297
000650.XSHE	仁和药业	2018-09-30	0.389
002900.XSHE	哈三联	2018-09-30	0.083
603367.XSHG	辰欣药业	2018-09-30	0.165
600329.XSHG	中新药业	2018-09-30	0.3
000813.XSHE	德展健康	2018-09-30	0.448
002788.XSHE	鹭燕医药	2018-09-30	0.084
300436.XSHE	广生堂	2018-09-30	0.087
600211.XSHG	西藏药业	2018-09-30	0.185
000710.XSHE	贝瑞基因	2018-09-30	0.293
000566.XSHE	海南海药	2018-09-30	0.373
300534.XSHE	陇神戎发	2018-09-30	0.093
300238.XSHE	冠昊生物	2018-09-30	0.139
600521.XSHG	华海药业	2018-09-30	0.909
002872.XSHE	天圣制药	2018-09-30	0.062
002462.XSHE	嘉事堂	2018-09-30	0.227
002907.XSHE	华森制药	2018-09-30	0.065
300642.XSHE	透景生命	2018-09-30	0.073
603127.XSHG	昭衍新药	2018-09-30	0.103
300233.XSHE	金城医药	2018-09-30	0.139
000963.XSHE	华东医药	2018-09-30	2.053
603718.XSHG	海利生物	2018-09-30	0.163
601607.XSHG	上海医药	2018-09-30	1.537
603716.XSHG	塞力斯	2018-09-30	0.086
603896.XSHG	寿仙谷	2018-09-30	0.1
002868.XSHE	绿康生化	2018-09-30	0.037
300039.XSHE	上海凯宝	2018-09-30	0.204
