	code	name	market_cap	weight
536		富春股份		0.065
537		汉鼎宇佑		0.086
538		同有科技		0.062
539		聚飞光电		0.083
540		云意电气		0.061
541		慈星股份		0.054
542		吉艾科技		0.083
543		宜通世纪		0.088
544		任子行		0.076
545		珈伟新能		0.066
546		硕贝德		0.1
547		华灿光电		0.099
548		凯利泰		0.141
549		宜安科技		0.055
550		天壕环境		0.076
551		新文化		0.08
552		润和软件		0.13
553		联创互联		0.078
554		长亮科技		0.1
555		金卡智能		0.113
556		华鹏飞		0.052
557		北信源		0.159
558		东土科技		0.108
559		蒙草生态		0.166
560		我武生物		0.175
561		全通教育		0.058
562		天翔环境		0.024
563		博腾股份		0.061
564		中文在线		0.08
565		恒华科技		0.104
566		创意信息		0.06
567		东方网力		0.152
568		汇金股份		0.05
569		绿盟科技		0.137
570		扬杰科技		0.09
571		赢时胜		0.194
572		鼎捷软件		0.048
573		东方通		0.12
574		飞天诚信		0.073
575		国祯环保		0.073
576		中来股份		0.064
577		飞凯材料		0.081
578		九强生物		0.104
579		道氏技术		0.106
580		正业科技		0.056
581		航新科技		0.075
582		唐德影视		0.038
583		强力新材		0.083
584		暴风集团		0.068
585		富临精工		0.034
586		鹏辉能源		0.107
587		美康生物		0.056
588		运达科技		0.044
589		鲍斯股份		0.052
590		全信股份		0.035
591		创业慧康		0.184
592		耐威科技		0.101
593		赢合科技		0.117
594		全志科技		0.141
595		迈克生物		0.142
596		高伟达		0.063
597		迅游科技		0.079
598		四方精创		0.045
599		厚普股份		0.049
600		景嘉微		0.106
601		胜宏科技		0.161
602		合纵科技		0.068
603		万孚生物		0.15
604		蓝海华腾		0.033
605		赛升药业		0.057
606		盛天网络		0.037
607		美尚生态		0.098
608		中科创达		0.21
609		富祥股份		0.063
610		新易盛		0.084
611		天邑股份		0.058
612		名家汇		0.086
613		雪榕生物		0.046
614		中亚股份		0.033
615		久之洋		0.034
616		盛讯达		0.03
617		科大国创		0.05
618		辰安科技		0.077
619		中国应急		0.084
620		幸福蓝海		0.033
621		健帆生物		0.196
