	名称	代码	市值（亿元）	涨跌幅	pe	pb	一级行业代码	一级行业名称	二级行业代码	二级行业名称	持有市值（元）	日盈亏	相关指数
69	华东医药	000963.XSHE	435.8776	-1.08%	16.32	3.74	801150	医药生物I	801151	化学制药II	1825.94	-19.72	沪深300,基本面60,基本面120,养老产业,全指医药
70	上汽集团	600104.XSHG	2691.8694	1.13%	9.24	1.1	801880	汽车I	801094	汽车整车II	1810.45	20.46	上证50,沪深300,300价值,中证红利
71	中联重科	000157.XSHE	470.5385	-0.67%	11.21	1.24	801890	机械设备I	801074	专用设备II	1795.19	-12.03	沪深300,300价值,基本面60,基本面120,中证红利
72	沪电股份	002463.XSHE	368.0547	5.15%	35.44	7.71	801080	电子I	801083	元件II	1762.59	90.77	中证500
73	申万宏源	000166.XSHE	1186.8934	0.63%	21.17	1.45	801790	非银金融I	801193	证券II	1759.62	11.09	沪深300,基本面60,基本面120,证券公司,金融地产
74	凯莱英	002821.XSHE	290.1187	-1.79%	54.34	10.16	801150	医药生物I	801151	化学制药II	1753.66	-31.39	中证500,全指医药
75	中国长城	000066.XSHE	439.2273	-1.33%	45.96	7.02	801750	计算机I	801101	计算机设备II	1745.43	-23.21	基本面120,中证500
76	宋城演艺	300144.XSHE	398.0145	-1.35%	28.23	4.01	801210	休闲服务I	801212	景点II	1738.0	-23.46	沪深300,创业板,养老产业
77	通化东宝	600867.XSHG	299.8099	-9.91%	35.73	5.99	801150	医药生物I	801152	生物制品II	1731.69	-171.61	沪深300,养老产业,全指医药
78	申能股份	600642.XSHG	291.7751	0.0%	12.97	1.01	801160	公用事业I	801161	电力II	1730.56	0.0	中证500,中证红利
79	中国石化	600028.XSHG	6065.6675	-0.2%	13.08	0.84	801030	化工I	801035	石油化工II	1716.85	-3.43	上证50,沪深300,300价值,中证红利
80	中国人寿	601628.XSHG	9482.8086	-1.58%	19.26	2.49	801790	非银金融I	801194	保险II	1713.65	-27.08	上证50,沪深300,养老产业,金融地产
81	上海家化	600315.XSHG	201.5088	-1.07%	32.14	3.24	801030	化工I	801034	化学制品II	1707.47	-18.27	中证500,养老产业
82	光大银行	601818.XSHG	2194.0535	-0.48%	5.88	0.71	801780	银行I	801192	银行II	1694.11	-8.13	上证50,沪深300,300价值,中证红利,金融地产
83	上海医药	601607.XSHG	502.1972	-0.51%	12.85	1.23	801150	医药生物I	801154	医药商业II	1681.51	-8.58	沪深300,养老产业,全指医药
84	中炬高新	600872.XSHG	370.9143	-3.35%	55.59	9.82	801120	食品饮料I	801124	食品加工II	1668.07	-55.88	中证500
85	巨人网络	002558.XSHE	355.6836	-0.11%	44.3	4.36	801760	传媒I	801752	互联网传媒II	1667.84	-1.83	沪深300,养老产业,中证传媒
86	万达电影	002739.XSHE	296.3839	-0.07%	161.19	1.52	801760	传媒I	801761	文化传媒II	1661.53	-1.16	沪深300,基本面120,养老产业,中证传媒
87	宁波银行	002142.XSHE	1501.0754	0.19%	11.57	1.82	801780	银行I	801192	银行II	1657.18	3.15	沪深300,基本面60,基本面120,中证红利,金融地产
88	三六零	601360.XSHG	1392.0426	0.19%	22.47	5.0	801750	计算机I	801222	计算机应用II	1644.08	3.12	沪深300,养老产业,中证传媒
89	金地集团	600383.XSHG	538.5898	0.42%	6.51	1.1	801180	房地产I	801181	房地产开发II	1642.83	6.9	沪深300,300价值,中证红利,金融地产
90	吉比特	603444.XSHG	215.9845	-2.81%	24.38	7.37	801760	传媒I	801752	互联网传媒II	1632.73	-45.88	中证500,中证传媒
91	伟星新材	002372.XSHE	187.6724	-0.34%	18.46	5.22	801710	建筑材料I	801713	其他建材II	1625.8	-5.53	中证500,中证红利,中证环保
92	华域汽车	600741.XSHG	819.0777	-0.65%	12.43	1.7	801880	汽车I	801093	汽车零部件II	1611.94	-10.48	沪深300,300价值,中证红利
93	双汇发展	000895.XSHE	1030.3052	-0.13%	19.81	6.78	801120	食品饮料I	801124	食品加工II	1604.59	-2.09	沪深300,300价值,基本面60,基本面120,中证红利
94	中国国旅	601888.XSHG	1622.5072	-0.35%	35.39	8.33	801210	休闲服务I	801214	旅游综合II	1602.71	-5.61	上证50,沪深300,养老产业
95	欣旺达	300207.XSHE	279.5233	-3.88%	36.1	5.07	801080	电子I	801085	电子制造II	1589.58	-61.68	中证500,创业板,中证环保
96	顺鑫农业	000860.XSHE	379.7847	-2.73%	43.52	5.21	801120	食品饮料I	801123	饮料制造II	1588.88	-43.38	中证500
97	建设银行	601939.XSHG	17850.7832	-0.28%	6.71	0.87	801780	银行I	801192	银行II	1587.72	-4.45	上证50,沪深300,300价值,中证红利,金融地产
98	蓝色光标	300058.XSHE	128.7867	0.39%	21.32	1.48	801760	传媒I	801751	营销传播II	1586.21	6.19	中证500,创业板,中证传媒
99	协鑫集成	002506.XSHE	309.4658	0.82%	292.81	7.18	801730	电气设备I	801733	电源设备II	1578.78	12.95	中证500,中证环保
100	人民网	603000.XSHG	204.3317	0.11%	85.21	6.93	801760	传媒I	801752	互联网传媒II	1577.29	1.74	中证500,中证传媒
101	宇通客车	600066.XSHG	316.8147	-1.54%	13.04	1.99	801880	汽车I	801094	汽车整车II	1553.12	-23.92	沪深300,300价值,中证红利,中证环保
102	涪陵榨菜	002507.XSHE	194.9712	-1.86%	29.7	7.0	801120	食品饮料I	801124	食品加工II	1549.72	-28.82	中证500,养老产业
103	宁德时代	300750.XSHE	1930.3622	-0.01%	43.16	5.23	801730	电气设备I	801733	电源设备II	1549.19	-0.15	基本面60,基本面120,创业板,中证环保
104	五粮液	000858.XSHE	5077.5312	-2.87%	30.9	7.31	801120	食品饮料I	801123	饮料制造II	1539.48	-44.18	沪深300,基本面60,基本面120
